latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.996483,23.709677,92.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2024-07-27,29.5,0.00,16.5,17
2024-07-28,29.4,0.00,18.7,1
2024-07-29,30.3,0.00,19.2,353
2024-07-30,30.8,0.00,14.5,10
2024-07-31,28.6,0.00,19.1,6
2024-08-01,28.2,0.00,19.2,355
2024-08-02,29.3,0.00,18.8,263
2024-08-03,31.0,0.00,18.3,187
2024-08-04,32.0,0.50,18.0,234
2024-08-05,30.4,0.30,17.1,180
2024-08-06,29.4,1.90,17.4,200
2024-08-07,29.6,0.30,16.7,68
2024-08-08,29.8,0.00,13.7,333
2024-08-09,30.1,0.00,18.0,54
2024-08-10,30.7,0.80,14.0,16
2024-08-11,29.6,0.00,22.7,3
2024-08-12,29.8,0.00,18.2,359
2024-08-13,30.6,0.00,13.5,356
2024-08-14,31.0,0.00,17.7,280
2024-08-15,30.7,0.00,17.1,351
2024-08-16,32.3,0.00,13.9,19
2024-08-17,31.7,0.00,8.9,12
2024-08-18,30.3,0.00,15.9,173
2024-08-19,29.2,0.00,15.7,181
2024-08-20,28.3,0.00,16.2,190
2024-08-21,27.9,1.30,11.5,304
2024-08-22,29.2,0.20,13.6,5
2024-08-23,31.2,0.00,17.9,12
2024-08-24,31.3,0.00,18.0,25
2024-08-25,29.4,0.00,22.4,355
2024-08-26,29.2,0.20,20.6,354
2024-08-27,27.9,0.00,19.9,351
2024-08-28,28.3,0.60,17.7,121
2024-08-29,27.4,7.20,14.8,128
2024-08-30,25.5,5.60,12.7,7
2024-08-31,23.7,13.40,14.5,318
2024-09-01,24.2,0.20,16.9,353
2024-09-02,25.5,0.40,15.8,103
2024-09-03,25.6,0.90,11.5,53
2024-09-04,26.4,0.20,10.2,5
2024-09-05,27.5,0.20,12.7,41
2024-09-06,28.9,0.20,13.4,187
2024-09-07,28.5,0.00,15.3,68
2024-09-08,26.1,0.10,8.6,25
2024-09-09,25.7,0.20,15.2,137
2024-09-10,24.2,6.70,25.6,180
2024-09-11,24.3,0.50,15.9,240
2024-09-12,25.9,0.00,19.7,230
2024-09-13,26.4,0.20,17.7,233
2024-09-14,25.0,0.10,22.3,271
2024-09-15,22.4,0.00,21.6,289
2024-09-16,22.3,0.00,22.5,226
2024-09-17,23.3,0.80,15.3,94
2024-09-18,23.0,1.30,13.7,14
2024-09-19,22.2,9.20,11.3,353
2024-09-20,22.2,2.40,10.6,355
2024-09-21,21.3,0.00,16.4,356
2024-09-22,21.5,0.00,16.6,360
2024-09-23,22.3,0.00,18.6,244
2024-09-24,23.8,0.00,20.2,216
2024-09-25,24.3,0.00,16.9,221
2024-09-26,24.7,0.00,18.2,218
2024-09-27,25.2,0.00,15.7,216
2024-09-28,25.3,0.00,13.5,201
2024-09-29,25.4,0.00,27.0,287
2024-09-30,21.3,0.00,22.7,343
2024-10-01,20.7,0.00,18.0,73
2024-10-02,21.2,0.00,15.4,198
2024-10-03,23.0,0.00,13.9,185
2024-10-04,24.0,0.00,15.6,131
2024-10-05,23.8,4.70,14.7,161
2024-10-06,22.4,0.00,14.1,268
2024-10-07,22.1,0.00,22.8,229
2024-10-08,22.3,0.00,17.3,203
2024-10-09,23.1,0.00,17.7,208
2024-10-10,23.5,0.00,19.3,218
2024-10-11,25.1,0.00,12.3,211
2024-10-12,25.5,0.10,15.4,324
2024-10-13,22.2,0.00,14.6,43
2024-10-14,21.4,0.00,14.3,2
2024-10-15,21.2,0.00,9.7,7
2024-10-16,21.0,0.00,13.3,23
2024-10-17,17.9,0.00,16.0,26
2024-10-18,15.8,0.00,14.4,24
2024-10-19,15.7,0.00,14.5,26
2024-10-20,16.2,0.00,10.5,5
2024-10-21,16.2,0.00,10.8,6
2024-10-22,15.9,0.00,14.2,7
2024-10-23,16.7,0.00,12.8,0
2024-10-24,16.5,0.00,12.4,2
2024-10-25,16.6,0.00,13.0,5
2024-10-26,16.3,0.00,12.6,1
2024-10-27,17.1,0.00,8.8,3
2024-10-28,18.0,0.00,9.9,358
2024-10-29,19.5,0.00,11.9,8
2024-10-30,18.3,0.00,15.4,16
2024-10-31,16.8,0.00,20.1,2
2024-11-01,17.0,0.00,19.5,7
2024-11-02,16.7,0.00,15.3,358
2024-11-03,16.4,0.00,17.7,24
2024-11-04,14.4,0.00,14.0,4
2024-11-05,14.5,0.00,21.3,15
2024-11-06,NaN,NaN,2.8,NaN
2024-11-07,NaN,NaN,NaN,NaN
